00010100110100   00110   00000,0100 miss eviction 
00010100110100   01010   00000,0100 miss 
00010100110100   01110   00000,0100 miss 
00010100110100   10010   00000,0100 miss 
00010100110100   10110   00000,0100 miss 
00010100110100   11010   00000,0100 miss 
00010100110100   11110   00000,0100 miss 
00010100110101   00010   00000,0100 miss


00010100110100   00110   00100,0100 miss eviction 
00010100110100   01010   00100,0100 miss eviction 
00010100110100   01110   00100,0100 hit 
00010100110100   10010   00100,0100 hit 
00010100110100   10110   00100,0100 hit 
00010100110100   11010   00100,0100 hit 
00010100110100   11110   00100,0100 hit 
00010100110101   00010   00100,0100 hit


00010100110100   00110   01000,0100 hit 
00010100110100   01010   01000,0100 miss eviction 
00010100110100   01110   01000,0100 miss eviction 
00010100110100   10010   01000,0100 hit 
00010100110100   10110   01000,0100 hit 
00010100110100   11010   01000,0100 hit 
00010100110100   11110   01000,0100 hit 
00010100110101   00010   01000,0100 hit 


00010100110100   00110   01100,0100 hit 
00010100110100   01010   01100,0100 hit 
00010100110100   01110   01100,0100 miss eviction 
00010100110100   10010   01100,0100 miss eviction 
00010100110100   10110   01100,0100 hit 
00010100110100   11010   01100,0100 hit 
00010100110100   11110   01100,0100 hit 
00010100110101   00010   01100,0100 hit 


00010100110100   00110   10000,0100 hit 
00010100110100   01010   10000,0100 hit 
00010100110100   01110   10000,0100 hit 
00010100110100   10010   10000,0100 miss eviction 
00010100110100   10110   10000,0100 miss eviction 
00010100110100   11010   10000,0100 hit 
00010100110100   11110   10000,0100 hit 
00010100110101   00010   10000,0100 hit 


00010100110100   00110   10100,0100 hit 
00010100110100   01010   10100,0100 hit 
00010100110100   01110   10100,0100 hit 
00010100110100   10010   10100,0100 hit 
00010100110100   10110   10100,0100 miss eviction 
00010100110100   11010   10100,0100 miss eviction 
00010100110100   11110   10100,0100 hit 
00010100110101   00010   10100,0100 hit 


00010100110100   00110   11000,0100 hit 
00010100110100   01010   11000,0100 hit 
00010100110100   01110   11000,0100 hit 
00010100110100   10010   11000,0100 hit 
00010100110100   10110   11000,0100 hit 
00010100110100   11010   11000,0100 miss eviction 
00010100110100   11110   11000,0100 miss eviction 
00010100110101   00010   11000,0100 hit 


00010100110100   00110   11100,0100 hit 
00010100110100   01010   11100,0100 hit 
00010100110100   01110   11100,0100 hit 
00010100110100   10010   11100,0100 hit 
00010100110100   10110   11100,0100 hit 
00010100110100   11010   11100,0100 hit 
00010100110100   11110   11100,0100 miss eviction 
00010100110101   00010   11100,0100 miss eviction 


00010100110101   00110   00000,0100 miss eviction 
00010100110101   01010   00000,0100 miss eviction 
00010100110101   01110   00000,0100 miss eviction 
00010100110101   10010   00000,0100 miss eviction 
00010100110101   10110   00000,0100 miss eviction 
00010100110101   11010   00000,0100 miss eviction 
00010100110101   11110   00000,0100 miss eviction 
00010100110110   00010   00000,0100 miss eviction 


00010100110101   00110   00100,0100 hit 
00010100110101   01010   00100,0100 hit 
00010100110101   01110   00100,0100 hit 
00010100110101   10010   00100,0100 hit 
00010100110101   10110   00100,0100 hit 
00010100110101   11010   00100,0100 hit 
00010100110101   11110   00100,0100 hit 
00010100110110   00010   00100,0100 hit 


00010100110101   00110   01000,0100 hit 
00010100110101   01010   01000,0100 hit 
00010100110101   01110   01000,0100 hit 
00010100110101   10010   01000,0100 hit 
00010100110101   10110   01000,0100 hit 
00010100110101   11010   01000,0100 hit 
00010100110101   11110   01000,0100 hit 
00010100110110   00010   01000,0100 hit 


00010100110101   00110   01100,0100 hit 
00010100110101   01010   01100,0100 hit 
00010100110101   01110   01100,0100 hit 
00010100110101   10010   01100,0100 hit 
00010100110101   10110   01100,0100 hit 
00010100110101   11010   01100,0100 hit 
00010100110101   11110   01100,0100 hit 
00010100110110   00010   01100,0100 hit 


00010100110101   00110   10000,0100 hit 
00010100110101   01010   10000,0100 hit 
00010100110101   01110   10000,0100 hit 
00010100110101   10010   10000,0100 hit 
00010100110101   10110   10000,0100 hit 
00010100110101   11010   10000,0100 hit 
00010100110101   11110   10000,0100 hit 
00010100110110   00010   10000,0100 hit 


00010100110101   00110   10100,0100 hit 
00010100110101   01010   10100,0100 hit 
00010100110101   01110   10100,0100 hit 
00010100110101   10010   10100,0100 hit 
00010100110101   10110   10100,0100 hit 
00010100110101   11010   10100,0100 hit 
00010100110101   11110   10100,0100 hit 
00010100110110   00010   10100,0100 hit 


00010100110101   00110   11000,0100 hit 
00010100110101   01010   11000,0100 hit 
00010100110101   01110   11000,0100 hit 
00010100110101   10010   11000,0100 hit 
00010100110101   10110   11000,0100 hit 
00010100110101   11010   11000,0100 hit 
00010100110101   11110   11000,0100 hit 
00010100110110   00010   11000,0100 hit 
00010100110101   00110   11100,0100 hit 
00010100110101   01010   11100,0100 hit 
00010100110101   01110   11100,0100 hit 
00010100110101   10010   11100,0100 hit 
00010100110101   10110   11100,0100 hit 
00010100110101   11010   11100,0100 hit 
00010100110101   11110   11100,0100 hit 
00010100110110   00010   11100,0100 hit 
00010100110110   00110   00000,0100 miss eviction 
00010100110110   01010   00000,0100 miss eviction 
00010100110110   01110   00000,0100 miss eviction 
00010100110110   10010   00000,0100 miss eviction 
00010100110110   10110   00000,0100 miss eviction 
00010100110110   11010   00000,0100 miss eviction 
00010100110110   11110   00000,0100 miss eviction 
00010100110111   00010   00000,0100 miss eviction 
00010100110110   00110   00100,0100 hit 
00010100110110   01010   00100,0100 hit 
00010100110110   01110   00100,0100 hit 
00010100110110   10010   00100,0100 hit 
00010100110110   10110   00100,0100 hit 
00010100110110   11010   00100,0100 hit 
00010100110110   11110   00100,0100 hit 
00010100110111   00010   00100,0100 hit 
00010100110110   00110   01000,0100 hit 
00010100110110   01010   01000,0100 hit 
00010100110110   01110   01000,0100 hit 
00010100110110   10010   01000,0100 hit 
00010100110110   10110   01000,0100 hit 
00010100110110   11010   01000,0100 hit 
00010100110110   11110   01000,0100 hit 
00010100110111   00010   01000,0100 hit 
00010100110110   00110   01100,0100 hit 
00010100110110   01010   01100,0100 hit 
00010100110110   01110   01100,0100 hit 
00010100110110   10010   01100,0100 hit 
00010100110110   10110   01100,0100 hit 
00010100110110   11010   01100,0100 hit 
00010100110110   11110   01100,0100 hit 
00010100110111   00010   01100,0100 hit 
00010100110110   00110   10000,0100 hit 
00010100110110   01010   10000,0100 hit 
00010100110110   01110   10000,0100 hit 
00010100110110   10010   10000,0100 hit 
00010100110110   10110   10000,0100 hit 
00010100110110   11010   10000,0100 hit 
00010100110110   11110   10000,0100 hit 
00010100110111   00010   10000,0100 hit 
00010100110110   00110   10100,0100 hit 
00010100110110   01010   10100,0100 hit 
00010100110110   01110   10100,0100 hit 
00010100110110   10010   10100,0100 hit 
00010100110110   10110   10100,0100 hit 
00010100110110   11010   10100,0100 hit 
00010100110110   11110   10100,0100 hit 
00010100110111   00010   10100,0100 hit 
00010100110110   00110   11000,0100 hit 
00010100110110   01010   11000,0100 hit 
00010100110110   01110   11000,0100 hit 
00010100110110   10010   11000,0100 hit 
00010100110110   10110   11000,0100 hit 
00010100110110   11010   11000,0100 hit 
00010100110110   11110   11000,0100 hit 
00010100110111   00010   11000,0100 hit 
00010100110110   00110   11100,0100 hit 
00010100110110   01010   11100,0100 hit 
00010100110110   01110   11100,0100 hit 
00010100110110   10010   11100,0100 hit 
00010100110110   10110   11100,0100 hit 
00010100110110   11010   11100,0100 hit 
00010100110110   11110   11100,0100 hit 
00010100110111   00010   11100,0100 hit 
00010100110111   00110   00000,0100 miss eviction 
00010100110111   01010   00000,0100 miss eviction 
00010100110111   01110   00000,0100 miss eviction 
00010100110111   10010   00000,0100 miss eviction 
00010100110111   10110   00000,0100 miss eviction 
00010100110111   11010   00000,0100 miss eviction 
00010100110111   11110   00000,0100 miss eviction 
00010100111000   00010   00000,0100 miss eviction 
